Journal;0.39;100;74000;900700
Scan;0.25;52;49500;720000
Documentaire;0.24;66;22200;55700
Jeunesse;0.24;58;6600;125000
Mot de passe;0.22;64;49500;74700
Esprits criminels;0.21;48;60500;70500
New York. section criminelle;0.21;37;12100;13500
La piscine;0.21;55;22200;52300
Vu;0.2;33;40500;292200
Zip Zip;0.2;28;720;11100
Islam;0.19;59;40500;754200
Météo;0.18;100;24900000;35500000
Peppa Pig;0.18;46;246000;5900000
Aurore;0.16;50;22200;39800
Martine;0.16;46;14800;39900
Maison à vendre;0.16;55;49500;82800
Pause;0.16;51;14800;418200
Turbo;0.15;64;40500;680400
Conspiracy;0.15;37;2400;135300
Costa Rica;0.14;66;135000;1700000
Gym direct;0.14;41;90500;103400
Rock;0.14;67;22200;1200000
Capital;0.12;70;823000;2700000
NCIS : Los Angeles;0.12;43;33100;303000
Aida;0.12;60;14800;699100
Nuit magique;0.12;39;2900;3600
Escape;0.12;48;12100;373300
Section de recherches;0.11;41;1000;4400
Jour J;0.11;44;22200;28500
Scandola;0.11;38;5400;10800
Petit Ours Brun;0.11;49;14800;25000
In My Room;0.11;38;1000;20100
Philosophie;0.11;65;49500;133800
Titeuf;0.1;50;40500;90800
Manchester by the Sea;0.1;44;22200;293100
La quotidienne;0.1;54;22200;27800
La maison France 5;0.1;54;27100;31400
Le doudou;0.09;28;9900;11700
Tarzan;0.09;43;40500;716100
John Wick;0.09;41;90500;2700000
Première année;0.09;40;5400;7900
Dimanche en politique;0.09;26;1000;1200
Plus belle la vie;0.09;74;823000;889600
Roumanie;0.09;56;60500;85400
Top chef;0.09;49;201000;357900
Huguette;0.09;39;3600;6200
Auto Moto;0.08;69;33100;124500
Mon poussin;0.08;27;9900;14700
Alicia;0.08;55;5400;151400
6 à la maison;0.08;26;2900;2900
Antidote;0.08;53;18100;175900
Des chiffres et des lettres;0.08;39;14800;18900
Littoral;0.08;56;9900;42000
Paname;0.08;54;14800;31600
La chamade;0.08;38;2400;3200
Sur le front;0.08;36;4400;5000
Home;0.08;56;33100;4700000
Twist;0.08;48;14800;532100
Arte journal;0.08;51;18100;33300
Girl;0.08;59;135000;6500000
Ferdinand;0.08;43;12100;318200
Téléfoot;0.07;49;90500;97000
Doc *2020;0.07;31;720;910
On est en direct;0.07;45;22200;24500
Police de caractères;0.07;52;8100;10000
Le fruit défendu;0.07;35;2400;4500
Sam le pompier;0.07;30;40500;46800
Blow Out;0.07;34;12100;131300
M6 Boutique;0.07;54;135000;137700
Ça peut vous arriver;0.07;48;22200;23000
Mishima;0.07;44;6600;53200
La vie de jeune fille;0.07;-2;10;30
La petite femelle;0.06;38;8100;8900
Télématin;0.06;46;49500;55100
Rio;0.06;56;40500;840700
Bugs Bunny;0.06;45;27100;713000
Slam;0.06;47;33100;220400
Alexandra Ehle;0.06;40;9900;12600
Des racines et des ailes;0.06;44;12100;16500
Les nouveaux nomades;0.06;31;1000;1100
C à vous;0.06;38;8100;9700
Welcome Back;0.06;37;8100;200300
Cuisine royale;0.06;29;1600;34000
Une femme de ménage;0.06;35;4400;5400
Le dessous des cartes;0.06;43;9900;11700
En thérapie;0.06;51;110000;116800
Les coulisses de l'histoire;0.06;26;880;1100
Aga;0.06;40;8100;236000
Roméo et Juliette;0.06;45;40500;53000
Kaamelott;0.06;54;135000;178600
Le double expresso RTL2;0.06;29;1300;1400
TFou;0.05;47;9900;17500
Téléshopping;0.05;57;110000;127600
Tirage du Loto;0.05;37;60500;62700
The Voice;0.05;73;201000;1200000
Les touristes;0.05;54;14800;16900
Tout le monde veut prendre sa place;0.05;44;40500;47400
N'oubliez pas les paroles;0.05;44;165000;184500
Vestiaires;0.05;45;14800;99300
Les Grosses Têtes;0.05;51;22200;25600
Womaniser;0.05;27;5400;30500
Malabar Princess;0.05;38;6600;7400
Thalassa;0.05;44;22200;68300
Tout le sport;0.05;62;6600;6900
Louis dans la vie;0.05;26;210;220
Tina  Tony;0.05;31;210;2400
Paprika;0.05;57;33100;1000000
C à vous la suite;0.05;35;1000;1400
Découvrir le monde;0.05;43;320;560
